,date,recipient,withdraw,balance,category
32,2021-05-03,MCGILL,339.85,12935.21,Education
33,2021-05-06,aliexpress,22.94,65.86,Material Desires
34,2021-05-06,PAYPAL *CH    7.76_V,7.76,13417.45,Material Desires
35,2021-05-07,SAVINGS ACC,0.50,13416.95,Investments
36,2021-05-12,PAYPAL *ORION L   _V,3.36,13413.59,Material Desires
37,2021-05-13,SAVINGS ACC,0.50,13413.09,Investments
38,2021-05-19,PAYPAL *CHENZHONG,117.08,160.00,Material Desires
39,2021-05-21,TFR-TO C/C,42.92,13370.17,Investments
40,2021-05-25,TFR-TO C/C,117.08,13253.09,Investments
41,2021-06-04,E-TRANSFER,50.00,13203.20,Material Desires
42,2021-06-10,"EXPLAIN EVERYTHING SALES,",8.68,8.68,Productivity
43,2021-06-10,EPC*EPIC GAMES STORE,8.79,17.47,Material Desires
44,2021-06-14,E-TRANSFER,50.00,13153.20,Material Desires
45,2021-06-14,E-TRANSFER,147.53,13005.67,Material Desires
46,2021-06-15,TRUEDAN 6219 CENTRE ST.,4.19,69.92,Food
47,2021-06-15,AMZN Mktp CA,48.26,65.73,Productivity
48,2021-06-18,Fanatical,6.78,76.70,Material Desires
49,2021-06-22,CDN SHR INVEST   INV,1000.00,12478.47,Investments
50,2021-06-23,TFR-TO C/C,269.45,12209.02,Investments
51,2021-06-24,PAYPAL *CHENZHONG,192.75,51.41,Material Desires
52,2021-06-24,TRUEDAN 6219 CENTRE ST.,3.14,-141.34,Food
53,2021-06-24,H&M CA#109 - DEERFOOT,47.22,-145.53,Health and Vanity
54,2021-06-24,6A SNACK BAR,1.05,-144.48,Food
55,2021-06-30,DOLLARAMA # 494,3.15,54.56,Material Desires
56,2021-06-30,LONDON DRUGS 40,29.65,84.21,Health and Vanity
57,2021-07-01,DAIRY QUEEN #27231,7.23,91.44,Food
58,2021-07-02,CDN SHR INVEST   INV,300.00,13530.09,Investments
59,2021-07-08,STEAM,20.27,116.95,Recreation
60,2021-07-08,PHO VAN VIETNAMESE NOODLE,15.64,132.59,Food
61,2021-07-08,XINGFUTANG HARVEST HILLS,5.24,96.68,Food
62,2021-07-10,"EXPLAIN EVERYTHING SALES,",9.00,141.59,Productivity
63,2021-07-17,KIM CHI HOUSE,17.45,159.04,Food
64,2021-07-17,PARK ADMISSIONS,5.00,164.04,Recreation
65,2021-07-18,eBay,134.50,298.54,Productivity
66,2021-07-23,ROYAL TEA HOUSE,11.28,309.82,Food
67,2021-07-24,DELL CANADA INC,334.94,644.76,Productivity
68,2021-07-26,LONDON DRUGS POSTAL OUTLE,4.98,96.42,Productivity
69,2021-07-26,TFR-TO C/C,553.32,14358.99,Investments
70,2021-07-27,TFR-TO C/C,91.44,14267.55,Investments
71,2021-07-27,E-TRANSFER,85.00,14182.55,Material Desires
72,2021-07-27,BRIXTON NEIGHBOURHOOD PUB,18.72,33.77,Food
73,2021-07-27,DAIRY QUEEN #27231,10.07,15.05,Food
74,2021-07-30,AMZN Mktp CA,165.89,199.66,Productivity
75,2021-07-30,AMZN Mktp CA,34.48,234.14,Health and Vanity
76,2021-07-31,TRUEDAN 6219 CENTRE ST.,3.14,237.28,Food
77,2021-07-31,AMZN Mktp CA,28.88,266.16,Productivity
78,2021-07-31,AMZN Mktp CA,25.19,291.35,Material Desires
79,2021-08-01,aliexpress,322.68,600.38,Material Desires
80,2021-08-02,ETSY,34.48,634.86,Health and Vanity
81,2021-08-03,CDN SHR INVEST   INV,300.00,15343.03,Investments
82,2021-08-04,NEWEGG CANADA INC,39.99,777.74,Productivity
83,2021-08-04,AMZN Mktp CA,134.39,737.75,Health and Vanity
84,2021-08-04,aliexpress,76.10,853.84,Material Desires
85,2021-08-05,T&T SUPERMARKET #014,4.38,858.22,Food
86,2021-08-05,BOWLS KOREAN BBQ,34.59,892.81,Food
87,2021-08-06,WESTJET,31.50,924.31,Productivity
88,2021-08-06,AMZN Mktp CA,18.38,942.69,Productivity
89,2021-08-06,E-TRANSFER,250.00,15093.03,Material Desires
90,2021-08-08,DOLLARAMA # 79,4.60,947.29,Productivity
91,2021-08-09,IKEA MONTREAL       ,509.34,15233.69,Productivity
92,2021-08-10,SAVINGS ACC,0.50,15233.19,Investments
93,2021-08-10,SHUYI TEALICIOUS MCGILL,7.18,954.47,Food
94,2021-08-10,"EXPLAIN EVERYTHING SALES,",9.02,963.49,Productivity
95,2021-08-11,CARTE OPUS ETUDIANTS E,15.00,978.49,Necessities
96,2021-08-11,PP*HUMBLEBUNDL HUMBLEBUND,4.18,982.67,Recreation
97,2021-08-13,FIZZ,57.49,1040.16,Necessities
98,2021-08-14,AMZN Mktp CA,37.70,1077.86,Productivity
99,2021-08-16,AMZN Mktp CA,8.03,103.22,Health and Vanity
100,2021-08-16,TFR-TO C/C,982.67,14250.52,Investments
