,Category,Date,AmountIn,AmountOut
141,Home & Office,2022-08-22,0.0,45.98
142,Groceries,2022-08-23,0.0,32.62
143,Groceries,2022-08-23,0.0,177.47
144,Shopping,2022-08-26,0.0,19.53
145,Groceries,2022-08-26,0.0,47.87
146,Employment,2022-08-26,1325.82,0.0
147,Misc,2022-08-26,0.0,12.0
148,Reimbursements,2022-08-27,33.92,0.0
149,Restaurants,2022-08-27,0.0,20.86
150,Transfers,2022-08-30,75.0,0.0
151,Subsidiary,2022-08-31,0.0,0.0
152,Rent & Utilities,2022-08-31,0.0,5717.29
153,Subsidiary,2022-08-31,0.3,0.0
154,Restaurants,2022-09-01,0.0,0.81
155,Restaurants,2022-09-01,0.0,29.32
156,Health,2022-09-01,0.0,25.01
157,Investments,2022-09-02,0.0,300.0
158,Groceries,2022-09-03,0.0,326.58
159,Health,2022-09-03,0.0,71.28
160,Shopping,2022-09-04,0.0,34.38
161,Groceries,2022-09-04,0.0,46.55
162,Transfers,2022-09-06,938.35,0.0
163,Transfers,2022-09-06,0.0,157.86
164,Transfers,2022-09-06,0.0,282.2
165,Transfers,2022-09-06,0.0,938.35
166,Misc,2022-09-06,11.1,0.0
167,Transfers,2022-09-06,271.1,0.0
168,Misc,2022-09-06,93.1,0.0
169,Reimbursements,2022-09-06,16.09,0.0
170,Transfers,2022-09-06,13.0,0.0
171,Subsidiary,2022-09-07,3.25,0.0
172,Home & Office,2022-09-07,0.0,23.63
173,Transfers,2022-09-08,5000.0,0.0
174,Home & Office,2022-09-08,0.0,600.0
175,Home & Office,2022-09-09,0.0,191.99
176,Employment,2022-09-09,1124.63,0.0
177,Home & Office,2022-09-09,0.0,24.13
178,Groceries,2022-09-09,0.0,99.98
179,Groceries,2022-09-10,0.0,29.08
180,Groceries,2022-09-10,0.0,4.99
181,Groceries,2022-09-10,0.0,3.78
182,Loans,2022-09-12,2825.0,0.0
183,Loans,2022-09-12,7140.0,0.0
184,Misc,2022-09-12,0.0,10.0
185,Home & Office,2022-09-13,597.45,0.0
186,Transfers,2022-09-14,0.0,12.59
187,Transfers,2022-09-14,12.59,0.0
188,Health,2022-09-15,0.0,25.01
189,Employment,2022-09-15,190.91,0.0
190,Groceries,2022-09-15,0.0,57.16
191,Subsidiary,2022-09-15,40.0,0.0
192,Transfers,2022-09-16,0.0,159.01
193,Groceries,2022-09-19,0.0,175.55
194,Groceries,2022-09-19,0.0,4.99
195,Groceries,2022-09-19,0.0,17.24
196,Home & Office,2022-09-21,0.0,28.73
197,Employment,2022-09-23,851.72,0.0
198,Groceries,2022-09-24,0.0,44.56
199,Misc,2022-09-26,0.0,60.0
200,Misc,2022-09-26,0.0,5.0
201,Rent & Utilities,2022-09-28,0.0,4.94
202,Transfers,2022-09-28,0.0,95.07
203,Misc,2022-09-28,0.0,10.0
204,Health,2022-09-29,0.0,25.01
205,Employment,2022-09-29,373.55,0.0
206,Subsidiary,2022-09-29,0.33,0.0
207,Subsidiary,2022-09-30,0.0,0.0
208,Groceries,2022-10-01,0.0,307.28
209,Investments,2022-10-03,0.0,300.0
210,Reimbursements,2022-10-03,43.41,0.0
211,Rent & Utilities,2022-10-03,0.0,1013.91
212,Rent & Utilities,2022-10-03,0.0,88.37
213,Subsidiary,2022-10-03,300.0,0.0
214,Restaurants,2022-10-04,0.0,14.26
215,Rent & Utilities,2022-10-04,0.0,150.0
216,Reimbursements,2022-10-05,116.75,0.0
217,Restaurants,2022-10-07,0.0,38.18
218,Employment,2022-10-07,851.73,0.0
219,Groceries,2022-10-08,0.0,159.08
220,Transfers,2022-10-11,656.57,0.0
221,Transfers,2022-10-11,0.0,656.57
222,Employment,2022-10-13,373.55,0.0
223,Health,2022-10-13,0.0,25.01
224,Reimbursements,2022-10-14,134.75,0.0
225,Travel,2022-10-15,0.0,15.0
226,Groceries,2022-10-19,0.0,11.13
227,Groceries,2022-10-19,0.0,53.85
228,Restaurants,2022-10-21,0.0,9.14
229,Employment,2022-10-21,836.25,0.0
230,Groceries,2022-10-24,0.0,270.02
231,Misc,2022-10-24,0.0,25.0
232,Shopping,2022-10-25,0.0,229.95
233,Health,2022-10-27,0.0,25.01
234,Employment,2022-10-27,373.55,0.0
235,Home & Office,2022-10-30,0.0,32.16
236,Entertainment,2022-10-31,0.0,124.0
237,Subsidiary,2022-10-31,30.0,0.0
238,Subsidiary,2022-10-31,0.39,0.0
239,Entertainment,2022-10-31,0.0,2.0
240,Entertainment,2022-10-31,0.0,5.0
241,Groceries,2022-10-31,0.0,147.67
242,Transfers,2022-10-31,0.0,369.09
243,Subsidiary,2022-10-31,25.0,0.0
244,Subsidiary,2022-10-31,30.0,0.0
245,Subsidiary,2022-10-31,20.0,0.0
246,Subsidiary,2022-10-31,25.0,0.0
247,Transfers,2022-10-31,369.09,0.0
248,Entertainment,2022-10-31,0.0,16.25
249,Restaurants,2022-10-31,0.0,13.2
250,Restaurants,2022-10-31,0.0,6.2
251,Subsidiary,2022-10-31,0.0,0.0
252,Subsidiary,2022-10-31,150.0,0.0
253,Subsidiary,2022-10-31,20.0,0.0
254,Rent & Utilities,2022-11-01,0.0,953.35
255,Reimbursements,2022-11-01,10.51,0.0
256,Transfers,2022-11-01,0.0,0.5
257,Restaurants,2022-11-01,0.0,26.11
258,Restaurants,2022-11-01,0.0,5.95
259,Subsidiary,2022-11-01,25.0,0.0
260,Subsidiary,2022-11-02,35.0,0.0
261,Investments,2022-11-02,0.0,300.0
262,Groceries,2022-11-03,0.0,27.75
263,Health,2022-11-03,0.0,35.04
264,Reimbursements,2022-11-04,233.5,0.0
265,Employment,2022-11-04,317.2,0.0
266,Transfers,2022-11-07,0.0,162.66
267,Transfers,2022-11-07,162.66,0.0
268,Employment,2022-11-10,373.55,0.0
269,Entertainment,2022-11-10,0.0,500.0
270,Groceries,2022-11-10,0.0,6.28
271,Health,2022-11-10,0.0,25.01
272,Restaurants,2022-11-11,0.0,19.55
273,Transfers,2022-11-14,0.0,0.5
274,Restaurants,2022-11-14,0.0,44.26
275,Shopping,2022-11-17,0.0,31.44
276,Groceries,2022-11-18,0.0,279.8
277,Shopping,2022-11-18,0.0,177.39
278,Employment,2022-11-18,929.11,0.0
279,Restaurants,2022-11-19,0.0,13.23
280,Restaurants,2022-11-20,0.0,6.95
281,Entertainment,2022-11-20,0.0,8.05
282,Misc,2022-11-21,0.0,32.5
283,Restaurants,2022-11-21,0.0,40.99
284,Employment,2022-11-24,373.54,0.0
285,Health,2022-11-24,0.0,25.01
286,Misc,2022-11-25,0.0,12.98
287,Restaurants,2022-11-25,0.0,23.57
288,Health,2022-11-27,0.0,6.89
289,Groceries,2022-11-27,0.0,13.99
290,Home & Office,2022-11-27,0.0,127.61
291,Misc,2022-11-28,0.0,17.23
292,Groceries,2022-11-29,0.0,178.27
293,Subsidiary,2022-11-29,25.0,0.0
294,Subsidiary,2022-11-29,25.0,0.0
295,Subsidiary,2022-11-29,25.0,0.0
296,Subsidiary,2022-11-29,30.0,0.0
297,Subsidiary,2022-11-30,0.0,0.0
298,Subsidiary,2022-11-30,30.0,0.0
299,Misc,2022-11-30,0.0,19.99
300,Reimbursements,2022-11-30,152.85,0.0
301,Rent & Utilities,2022-11-30,0.0,2.2
302,Subsidiary,2022-11-30,25.0,0.0
303,Subsidiary,2022-11-30,30.0,0.0
304,Subsidiary,2022-11-30,0.37,0.0
305,Subsidiary,2022-11-30,30.0,0.0
306,Subsidiary,2022-12-01,30.0,0.0
307,Rent & Utilities,2022-12-01,0.0,983.63
308,Groceries,2022-12-01,0.0,12.73
309,Shopping,2022-12-02,0.0,153.19
310,Employment,2022-12-02,848.38,0.0
311,Subsidiary,2022-12-05,25.0,0.0
312,Subsidiary,2022-12-05,15.0,0.0
313,Rent & Utilities,2022-12-05,0.0,87.53
314,Reimbursements,2022-12-05,56.84,0.0
315,Subsidiary,2022-12-05,30.0,0.0
316,Investments,2022-12-05,0.0,300.0
317,Subsidiary,2022-12-05,30.0,0.0
318,Groceries,2022-12-05,0.0,5.99
319,Transfers,2022-12-05,442.78,0.0
320,Restaurants,2022-12-05,0.0,170.52
321,Subsidiary,2022-12-05,20.0,0.0
322,Transfers,2022-12-05,0.0,442.78
323,Subsidiary,2022-12-05,30.0,0.0
324,Subsidiary,2022-12-06,30.0,0.0
325,Groceries,2022-12-06,0.0,29.99
326,Restaurants,2022-12-07,0.0,14.95
327,Subsidiary,2022-12-08,30.0,0.0
328,Health,2022-12-08,0.0,25.01
329,Rent & Utilities,2022-12-08,0.0,5299.34
330,Employment,2022-12-08,373.54,0.0
331,Shopping,2022-12-09,0.0,16.85
332,Groceries,2022-12-09,0.0,5.0
333,Subsidiary,2022-12-09,30.0,0.0
334,Shopping,2022-12-09,15.88,0.0
335,Subsidiary,2022-12-09,30.0,0.0
336,Groceries,2022-12-10,0.0,5.05
337,Shopping,2022-12-10,0.0,19.61
338,Shopping,2022-12-12,0.0,115.5
339,Subsidiary,2022-12-12,30.0,0.0
340,Groceries,2022-12-12,0.0,250.33
341,Subsidiary,2022-12-12,35.0,0.0
342,Misc,2022-12-12,0.0,45.0
343,Subsidiary,2022-12-12,300.0,0.0
344,Groceries,2022-12-14,0.0,2.39
345,Employment,2022-12-16,929.11,0.0
346,Health,2022-12-16,0.0,47.68
347,Health,2022-12-18,0.0,21.59
348,Groceries,2022-12-18,0.0,39.4
349,Restaurants,2022-12-21,0.0,48.0
350,Rent & Utilities,2022-12-22,0.0,10.0
351,Employment,2022-12-22,373.56,0.0
352,Transfers,2022-12-23,0.0,6.32
353,Transfers,2022-12-23,0.0,415.57
354,Transfers,2022-12-23,6.32,0.0
355,Shopping,2022-12-23,0.0,16.27
356,Transfers,2022-12-23,415.57,0.0
357,Entertainment,2022-12-27,0.0,5.0
358,Restaurants,2022-12-27,0.0,42.51
359,Entertainment,2022-12-28,0.0,19.93
360,Subsidiary,2022-12-28,6760.0,0.0
361,Home & Office,2022-12-28,0.0,183.95
362,Shopping,2022-12-29,0.0,27.04
363,Subsidiary,2022-12-30,0.36,0.0
364,Employment,2022-12-30,1006.5,0.0
365,Groceries,2022-12-30,0.0,4.29
366,Subsidiary,2022-12-31,0.0,0.0
367,Home & Office,2023-01-02,0.0,5.24
368,Groceries,2023-01-03,0.0,181.74
369,Misc,2023-01-03,0.0,29.88
370,Investments,2023-01-03,0.0,300.0
371,Loans,2023-01-03,2830.0,0.0
372,Groceries,2023-01-04,0.0,103.94
373,Restaurants,2023-01-05,0.0,27.3
374,Reimbursements,2023-01-05,116.75,0.0
375,Restaurants,2023-01-06,0.0,7.76
376,Shopping,2023-01-07,0.0,95.1
377,Reimbursements,2023-01-07,95.1,0.0
378,Shopping,2023-01-07,0.0,17.07
379,Reimbursements,2023-01-07,17.07,0.0
380,Restaurants,2023-01-09,0.0,19.25
381,Transfers,2023-01-10,0.0,50050.0
382,Health,2023-01-10,0.0,120.0
383,Transfers,2023-01-10,49990.0,0.0
384,Home & Office,2023-01-11,0.0,49.27
385,Transfers,2023-01-11,0.0,590.85
386,Transfers,2023-01-11,590.85,0.0
387,Subsidiary,2023-01-11,50.0,0.0
388,Reimbursements,2023-01-12,29.88,0.0
389,Reimbursements,2023-01-13,134.75,0.0
390,Groceries,2023-01-16,0.0,33.96
391,Subsidiary,2023-01-16,125.0,0.0
392,Reimbursements,2023-01-17,30.0,0.0
393,Restaurants,2023-01-17,0.0,31.7
394,Transfers,2023-01-19,0.0,27.26
395,Transfers,2023-01-19,27.26,0.0
396,Misc,2023-01-19,0.0,25.58
397,Transfers,2023-01-20,0.0,350.0
398,Transfers,2023-01-20,350.0,0.0
399,Rent & Utilities,2023-01-20,0.0,983.63
400,Misc,2023-01-20,0.0,28.24
401,Reimbursements,2023-01-22,4.19,0.0
402,Entertainment,2023-01-22,0.0,7.84
403,Home & Office,2023-01-23,0.0,47.82
404,Misc,2023-01-23,10.15,0.0
405,Rent & Utilities,2023-01-28,0.0,5.75
406,Subsidiary,2023-01-29,118.36,0.0
407,Investments,2023-01-29,6000.0,0.0
408,Subsidiary,2023-01-31,0.13,0.0
409,Subsidiary,2023-01-31,11.5,0.0
410,Subsidiary,2023-01-31,0.01,0.0
411,Transfers,2023-02-01,0.0,983.63
412,Employment,2023-02-01,1335.88,0.0
413,Transfers,2023-02-02,800.0,0.0
414,Transfers,2023-02-02,0.0,100.0
415,Groceries,2023-02-02,0.0,386.77
416,Restaurants,2023-02-02,0.0,10.95
417,Restaurants,2023-02-02,0.0,20.53
418,Transfers,2023-02-03,500.0,0.0
419,Transfers,2023-02-03,0.0,500.0
420,Groceries,2023-02-04,0.0,20.66
421,Health,2023-02-04,0.0,13.79
422,Subsidiary,2023-02-06,10.0,0.0
423,Reimbursements,2023-02-06,56.84,0.0
424,Groceries,2023-02-08,0.0,38.32
425,Transfers,2023-02-10,294.59,0.0
426,Restaurants,2023-02-10,0.0,16.66
427,Restaurants,2023-02-10,0.0,5.75
428,Transfers,2023-02-10,0.0,294.59
429,Transfers,2023-02-10,0.0,5.75
430,Subsidiary,2023-02-10,146.28,0.0
431,Transfers,2023-02-10,5.75,0.0
432,Reimbursements,2023-02-15,26.44,0.0
433,Reimbursements,2023-02-15,11.13,0.0
434,Groceries,2023-02-15,0.0,1.47
435,Shopping,2023-02-15,0.0,120.0
436,Reimbursements,2023-02-15,36.43,0.0
437,Reimbursements,2023-02-15,30.66,0.0
438,Employment,2023-02-15,1313.07,0.0
439,Transfers,2023-02-15,0.0,90.32
440,Transfers,2023-02-16,0.0,500.0
441,Transfers,2023-02-16,500.0,0.0
442,Misc,2023-02-16,31.5,0.0
443,Transfers,2023-02-16,0.0,500.0
444,Transfers,2023-02-16,500.0,0.0
445,Groceries,2023-02-16,0.0,307.66
446,Misc,2023-02-16,0.0,55.0
447,Restaurants,2023-02-17,0.0,47.6
448,Restaurants,2023-02-17,0.0,11.96
449,Transfers,2023-02-21,2100.0,0.0
450,Shopping,2023-02-21,0.0,129.35
451,Investments,2023-02-21,0.0,2000.0
452,Shopping,2023-02-23,0.0,10.0
453,Restaurants,2023-02-24,0.0,38.34
454,Misc,2023-02-24,0.0,7.0
455,Restaurants,2023-02-26,0.0,47.6
456,Restaurants,2023-02-26,0.0,12.65
457,Rent & Utilities,2023-02-27,0.0,5.75
458,Reimbursements,2023-02-28,16.19,0.0
459,Subsidiary,2023-02-28,15.57,0.0
460,Entertainment,2023-02-28,0.0,46.53
461,Entertainment,2023-02-28,0.0,2.02
462,Subsidiary,2023-02-28,0.05,0.0
463,Reimbursements,2023-02-28,16.18,0.0
464,Restaurants,2023-03-01,0.0,68.1
465,Transfers,2023-03-01,0.0,100.0
466,Entertainment,2023-03-01,0.0,13.75
467,Restaurants,2023-03-01,0.0,6.66
468,Employment,2023-03-01,1313.07,0.0
469,Transfers,2023-03-01,0.0,983.63
470,Transfers,2023-03-01,0.0,311.38
471,Restaurants,2023-03-01,0.0,18.74
472,Restaurants,2023-03-01,0.0,6.86
473,Transfers,2023-03-01,311.38,0.0
474,Transfers,2023-03-01,100.0,0.0
475,Restaurants,2023-03-02,0.0,17.19
476,Restaurants,2023-03-02,0.0,4.31
477,Transfers,2023-03-06,42.6,0.0
