,Category,Date,AmountIn,AmountOut
618,Misc,2023-05-15,34.79,0.0
619,Misc,2023-05-15,81.0,0.0
620,Misc,2023-05-15,20.0,0.0
621,Reimbursements,2023-05-15,2000.0,0.0
622,Rent & Utilities,2023-05-15,0.0,650.0
623,Groceries,2023-05-16,1.56,0.0
624,Home & Office,2023-05-16,0.0,349.95
625,Restaurants,2023-05-17,0.0,12.59
626,Transfers,2023-05-17,0.0,3000.0
627,Restaurants,2023-05-17,0.0,5.46
628,Restaurants,2023-05-17,0.0,6.45
629,Health,2023-05-17,0.0,21.0
630,Reimbursements,2023-05-18,76.0,0.0
631,Investments,2023-05-18,4695.23,0.0
632,Restaurants,2023-05-18,0.0,21.74
633,Restaurants,2023-05-18,0.0,299.05
634,Transfers,2023-05-18,0.0,1690.23
635,Reimbursements,2023-05-18,1100.0,0.0
636,Reimbursements,2023-05-18,50.72,0.0
637,Reimbursements,2023-05-19,53.97,0.0
638,Reimbursements,2023-05-19,37.68,0.0
639,Restaurants,2023-05-23,0.0,24.73
640,Restaurants,2023-05-23,0.0,6.45
641,Transfers,2023-05-25,0.0,615.34
642,Health,2023-05-25,0.0,25.01
643,Transfers,2023-05-25,615.34,0.0
644,Transfers,2023-05-25,0.0,651.46
645,Home & Office,2023-05-25,0.0,166.88
646,Reimbursements,2023-05-26,27.0,0.0
647,Reimbursements,2023-05-26,349.95,0.0
648,Employment,2023-05-26,1524.66,0.0
649,Transfers,2023-05-26,651.46,0.0
650,Home & Office,2023-05-26,0.0,9.19
651,Home & Office,2023-05-26,0.0,419.99
652,Reimbursements,2023-05-26,0.0,18.0
653,Reimbursements,2023-05-26,85.22,0.0
654,Subsidiary,2023-05-26,20.0,0.0
655,Groceries,2023-05-27,0.0,4.97
656,Groceries,2023-05-27,0.0,7.29
657,Groceries,2023-05-27,0.0,0.37
658,Rent & Utilities,2023-05-27,0.0,5.75
659,Reimbursements,2023-05-29,38.11,0.0
660,Restaurants,2023-05-29,0.0,14.87
661,Entertainment,2023-05-29,0.0,8.53
662,Rent & Utilities,2023-05-30,0.0,15.0
663,Rent & Utilities,2023-05-30,0.0,1390.0
664,Home & Office,2023-05-31,0.0,83.99
665,Subsidiary,2023-05-31,0.04,0.0
666,Subsidiary,2023-05-31,7.96,0.0
667,Investments,2023-05-31,0.0,3000.0
668,Subsidiary,2023-05-31,0.01,0.0
669,Rent & Utilities,2023-05-31,97.99,0.0
670,Subsidiary,2023-05-31,0.04,0.0
671,Health,2023-05-31,0.0,31.5
672,Reimbursements,2023-06-01,68.5,0.0
673,Restaurants,2023-06-01,0.0,15.31
674,Rent & Utilities,2023-06-01,0.0,983.63
675,Home & Office,2023-06-01,0.0,212.79
676,Restaurants,2023-06-02,0.0,57.96
677,Restaurants,2023-06-02,0.0,79.65
678,Employment,2023-06-02,768.63,0.0
679,Home & Office,2023-06-02,31.5,0.0
680,Transfers,2023-06-03,0.0,460.68
681,Health,2023-06-03,0.0,50.99
682,Groceries,2023-06-03,0.0,6.0
683,Transfers,2023-06-03,460.68,0.0
684,Travel,2023-06-03,0.0,51.45
685,Home & Office,2023-06-03,0.0,863.52
686,Groceries,2023-06-04,0.0,117.33
687,Reimbursements,2023-06-05,71.1,0.0
688,Transfers,2023-06-05,0.0,5.75
689,Transfers,2023-06-05,0.0,996.4
690,Groceries,2023-06-05,0.0,22.28
691,Restaurants,2023-06-05,0.0,5.37
692,Reimbursements,2023-06-05,0.01,0.0
693,Reimbursements,2023-06-05,60.0,0.0
694,Transfers,2023-06-05,996.4,0.0
695,Groceries,2023-06-05,0.0,54.82
696,Groceries,2023-06-05,0.0,68.91
697,Restaurants,2023-06-06,0.0,71.1
698,Restaurants,2023-06-06,0.0,71.1
699,Groceries,2023-06-06,0.0,73.81
700,Home & Office,2023-06-06,0.0,339.35
701,Reimbursements,2023-06-07,333.12,0.0
702,Travel,2023-06-07,0.0,2.85
703,Travel,2023-06-07,0.0,6.05
704,Transfers,2023-06-07,0.0,315.26
705,Restaurants,2023-06-07,0.0,36.86
706,Home & Office,2023-06-08,0.0,4.48
707,Transfers,2023-06-08,315.26,0.0
708,Health,2023-06-08,0.0,25.01
709,Health,2023-06-09,0.0,20.99
710,Home & Office,2023-06-09,0.0,127.68
711,Employment,2023-06-09,1386.34,0.0
712,Transfers,2023-06-09,615.34,0.0
713,Home & Office,2023-06-09,0.0,5.32
714,Home & Office,2023-06-10,0.0,66.63
715,Home & Office,2023-06-10,0.0,54.07
716,Home & Office,2023-06-10,0.0,25.69
717,Groceries,2023-06-10,0.0,40.59
718,Misc,2023-06-10,0.0,9.44
719,Travel,2023-06-11,0.0,0.15
720,Travel,2023-06-11,0.0,6.05
721,Home & Office,2023-06-11,0.0,44.79
722,Travel,2023-06-11,0.0,3.1
723,Restaurants,2023-06-12,0.0,102.28
724,Groceries,2023-06-13,0.0,51.2
725,Travel,2023-06-14,0.0,6.05
726,Travel,2023-06-14,0.0,20.95
727,Restaurants,2023-06-14,0.0,49.19
728,Home & Office,2023-06-15,0.0,50.39
729,Restaurants,2023-06-15,0.0,6.93
730,Groceries,2023-06-15,0.0,29.99
731,Restaurants,2023-06-15,0.0,18.62
732,Travel,2023-06-15,0.0,1.5
733,Travel,2023-06-16,0.0,3.1
734,Home & Office,2023-06-16,0.0,111.99
735,Travel,2023-06-16,0.0,1.35
736,Employment,2023-06-16,1534.01,0.0
737,Travel,2023-06-16,0.0,40.95
738,Groceries,2023-06-17,0.0,9.86
739,Entertainment,2023-06-17,0.0,165.0
740,Travel,2023-06-17,0.0,0.15
741,Shopping,2023-06-17,0.0,13.86
742,Travel,2023-06-17,0.0,3.1
743,Travel,2023-06-17,0.0,6.05
744,Transfers,2023-06-19,0.0,213.98
745,Transfers,2023-06-19,0.0,99.55
746,Transfers,2023-06-19,0.0,543.65
747,Restaurants,2023-06-19,0.0,14.7
748,Restaurants,2023-06-19,0.0,8.66
749,Restaurants,2023-06-19,0.0,22.76
750,Restaurants,2023-06-19,0.0,55.45
751,Transfers,2023-06-20,213.98,0.0
752,Reimbursements,2023-06-21,166.88,0.0
753,Employment,2023-06-22,2601.54,0.0
